|-----|------|---------------------|--------------------|-------|-------|---------------------|----------------------|----------|
|  82 |    0 |  -8.354106709700286 |   6.97252014337669 |  -9.3 |   7.8 |  -2.874608905130882 |  -0.8871371031883548 |      0.7 |
|-----|------|---------------------|--------------------|-------|-------|---------------------|----------------------|----------|
|  83 |    0 |  -8.400954402267315 | 6.9645955948476574 |  -9.3 |   7.8 | -2.8799963155099206 |  -0.9092866686912131 |      0.7 |
|-----|------|---------------------|--------------------|-------|-------|---------------------|----------------------|----------|
|  84 |    0 |  -8.434026348361376 | 6.9792684611273454 |  -9.3 |   7.8 | -2.8828659736536255 |  -0.9155776489467337 |      0.7 |
|-----|------|---------------------|--------------------|-------|-------|---------------------|----------------------|----------|
|  85 |    0 |  -8.466625325423028 |  7.004947019154312 |  -9.3 |   7.8 |  -2.886428422076743 |  -0.9153304159881317 |      0.7 |
|-----|------|---------------------|--------------------|-------|-------|---------------------|----------------------|----------|
|  86 |    0 |   -8.49625863158042 |  7.012425510474634 |  -9.3 |   7.8 |  -2.890780734440745 |  -0.9234458923348835 |      0.7 |
|-----|------|---------------------|--------------------|-------|-------|---------------------|----------------------|----------|
|  87 |    0 |  -8.524655057673911 | 7.0157396316467935 |  -9.3 |   7.8 |  -2.895243064843139 |  -0.9337177375751102 |      0.7 |
|-----|------|---------------------|--------------------|-------|-------|---------------------|----------------------|----------|
|  88 |    0 |   -8.55418559769909 |  7.028522292453577 |  -9.3 |   7.8 | -2.9000972023780536 |  -0.9394252988685902 |      0.7 |
|-----|------|---------------------|--------------------|-------|-------|---------------------|----------------------|----------|
|  89 |    0 |   -8.59311898809271 |  7.031242076960973 |  -9.3 |   7.8 |  -2.906576564893377 |  -0.9560897868633852 |      0.7 |
|-----|------|---------------------|--------------------|-------|-------|---------------------|----------------------|----------|
|  90 |    0 |  -8.626853648036827 |  7.052912558302107 |  -9.3 |   7.8 |  -2.910209938839052 |  -0.9619168804466406 |      0.7 |
|-----|------|---------------------|--------------------|-------|-------|---------------------|----------------------|----------|
|  91 |    0 |  -8.656377240412436 |  7.071259266065426 | -15.0 |   7.3 |  -2.914055412285987 | -0.23722200143162106 |      0.0 |
|-----|------|---------------------|--------------------|-------|-------|---------------------|----------------------|----------|
|  92 |    0 |  -8.693024209718029 |  7.059822770029489 | -15.0 |   7.3 | -2.9200487825911554 | -0.23364601429542228 |      0.0 |
|-----|------|---------------------|--------------------|-------|-------|---------------------|----------------------|----------|
|  93 |    0 |   -8.73451111938537 |  7.058929742463441 | -15.0 |   7.3 |  -2.923677530171303 | -0.23073483890236382 |      0.0 |
|-----|------|---------------------|--------------------|-------|-------|---------------------|----------------------|----------|
|  94 |    0 |  -8.768740073974831 |  7.075107090789544 | -15.0 |   7.3 | -2.9263204974605483 | -0.22621282148139582 |      0.0 |
|-----|------|---------------------|--------------------|-------|-------|---------------------|----------------------|----------|
|  95 |    0 |  -8.788709408096306 |  7.078499882069048 | -15.0 |   7.3 |  -2.926474296734463 | -0.22568772284371538 |      0.0 |
|-----|------|---------------------|--------------------|-------|-------|---------------------|----------------------|----------|
|  96 |    0 |   -8.79923362295939 |  7.078453714166039 | -15.0 |   7.3 |   -2.92645428227434 | -0.22576683168553976 |      0.0 |
|-----|------|---------------------|--------------------|-------|-------|---------------------|----------------------|----------|
|  97 |    0 |  -8.808859286558592 |  7.066346107973867 | -15.0 |   7.3 | -2.9252829235040356 | -0.22862867989037758 |      0.0 |
|-----|------|---------------------|--------------------|-------|-------|---------------------|----------------------|----------|
|  98 |    0 |  -8.806880974397298 |  7.062374892872352 | -15.0 |   7.3 | -2.9262095506486894 | -0.22836015378861088 |      0.0 |
|-----|------|---------------------|--------------------|-------|-------|---------------------|----------------------|----------|
|  99 |    0 |  -8.796392218591182 |  7.055965022116095 | -15.0 |   7.3 |  -2.926353722742609 | -0.22910062363717967 |      0.0 |
|-----|------|---------------------|--------------------|-------|-------|---------------------|----------------------|----------|
| 100 |    0 |  -8.797321539405912 |  7.041846866198027 | -15.0 |   7.3 |  -2.926410551590344 | -0.23109994621357194 |      0.0 |
|-----|------|---------------------|--------------------|-------|-------|---------------------|----------------------|----------|
| 101 |    0 |  -8.797265966731366 |   7.02838883394537 | -15.0 |   7.3 |  -2.926421360355724 | -0.23303905219453255 |      0.0 |
|-----|------|---------------------|--------------------|-------|-------|---------------------|----------------------|----------|
| 102 |    0 |  -8.792911755722322 |  7.023781501336594 | -15.0 |   7.3 |  -2.926432156304371 | -0.23366848710132831 |      0.0 |
|-----|------|---------------------|--------------------|-------|-------|---------------------|----------------------|----------|
| 103 |    0 |   -8.78393656503539 |  7.024795657195777 | -15.0 |   7.3 |  -2.926445447009032 | -0.23345226450350592 |      0.0 |
|-----|------|---------------------|--------------------|-------|-------|---------------------|----------------------|----------|
| 104 |    0 |  -8.777115639697639 |  7.023414228315973 | -15.0 |   7.3 |  -2.926445447009032 | -0.23360807535747447 |      0.0 |
|-----|------|---------------------|--------------------|-------|-------|---------------------|----------------------|----------|
| 105 |    0 |   -8.78588069017406 |  7.013105270923332 | -15.0 |   7.3 |  -2.926445447009032 | -0.23515438507999917 |      0.0 |
|-----|------|---------------------|--------------------|-------|-------|---------------------|----------------------|----------|
| 106 |    0 |  -8.795740381059963 |  7.001685015435292 | -15.0 |   7.3 |  -2.926445447009032 | -0.23687324086147682 |      0.0 |
|-----|------|---------------------|--------------------|-------|-------|---------------------|----------------------|----------|
| 107 |    0 |  -8.806146730677542 | 6.9941446084899805 | -15.0 |   7.3 |  -2.926445447009032 | -0.23803883928718883 |      0.0 |
|-----|------|---------------------|--------------------|-------|-------|---------------------|----------------------|----------|
| 108 |    0 |  -8.811998911303984 |  6.987861592897505 | -15.0 |   7.3 |  -2.926445447009032 | -0.23899231366619925 |      0.0 |
|-----|------|---------------------|--------------------|-------|-------|---------------------|----------------------|----------|
| 109 |    0 |    -8.8134961401752 |  6.970147636234372 | -15.0 |   7.3 |  -2.926445447009032 | -0.24157334237048364 |      0.0 |
|-----|------|---------------------|--------------------|-------|-------|---------------------|----------------------|----------|
| 110 |    0 |  -8.801734859698994 |  6.952241843460035 | -15.0 |   7.3 |  -2.926445447009032 | -0.24407475408771215 |      0.0 |
|-----|------|---------------------|--------------------|-------|-------|---------------------|----------------------|----------|
| 111 |    0 |  -8.802692258375158 |  6.939115639190023 | -15.0 |   7.3 |  -2.926445447009032 |  -0.2459825633899185 |      0.0 |
|-----|------|---------------------|--------------------|-------|-------|---------------------|----------------------|----------|
| 112 |    0 |   -8.81826775130285 |  6.922933413731312 | -15.0 |   7.3 |  -2.926445447009032 |  -0.2484617755517479 |      0.0 |
|-----|------|---------------------|--------------------|-------|-------|---------------------|----------------------|----------|
| 113 |    0 |  -8.824823900574282 |  6.916165811109757 | -15.0 |   7.3 |  -2.926445447009032 | -0.24950245659615944 |      0.0 |
|-----|------|---------------------|--------------------|-------|-------|---------------------|----------------------|----------|
| 114 |    0 |  -8.829374135089072 |   6.91198292549935 | -15.0 |   7.3 |  -2.926445447009032 |  -0.2501512557773444 |      0.0 |
|-----|------|---------------------|--------------------|-------|-------|---------------------|----------------------|----------|
| 115 |    0 |   -8.82915007144112 |  6.912855915641868 | -15.0 |   7.3 |  -2.926445447009032 | -0.25002238627129497 |      0.0 |
|-----|------|---------------------|--------------------|-------|-------|---------------------|----------------------|----------|
| 116 |    0 |  -8.827558579886281 |  6.907483037657306 | -15.0 |   7.3 |  -2.926445447009032 |  -0.2507881884462262 |      0.0 |
|-----|------|---------------------|--------------------|-------|-------|---------------------|----------------------|----------|
| 117 |    0 |   -8.82182737824837 |  6.911707351097354 | -15.0 |   7.3 |  -2.926445447009032 | -0.25012238427869915 |      0.0 |
|-----|------|---------------------|--------------------|-------|-------|---------------------|----------------------|----------|
| 118 |    0 |   -8.81911149411773 |  6.914968061244141 | -15.0 |   7.3 |  -2.926445447009032 | -0.24962468611302205 |      0.0 |
|-----|------|---------------------|--------------------|-------|-------|---------------------|----------------------|----------|
| 119 |    0 |  -8.823675452723096 |  6.925341933292155 | -15.0 |   7.3 |  -2.926445447009032 | -0.24815999362353144 |      0.0 |
|-----|------|---------------------|--------------------|-------|-------|---------------------|----------------------|----------|
| 120 |    0 |   -8.82504413872468 | 6.9245367119540395 | -15.0 |   7.3 |  -2.926445447009032 | -0.24828897979731124 |      0.0 |
|-----|------|---------------------|--------------------|-------|-------|---------------------|----------------------|----------|
| 121 |    0 |  -8.827422774385964 |  6.926044482670165 | -15.0 |   7.3 |  -2.926445447009032 | -0.24809095506102155 |      0.0 |
|-----|------|---------------------|--------------------|-------|-------|---------------------|----------------------|----------|
| 122 |    0 |  -8.829359469271603 |  6.924635776950227 | -15.0 |   7.3 |  -2.926445447009032 |   -0.248312713320268 |      0.0 |
|-----|------|---------------------|--------------------|-------|-------|---------------------|----------------------|----------|
| 123 |    0 |   -8.82751819212897 |  6.927104725317078 | -15.0 |   7.3 |  -2.926445447009032 | -0.24793776627558983 |      0.0 |
|-----|------|---------------------|--------------------|-------|-------|---------------------|----------------------|----------|
| 124 |    0 |  -8.823838935573292 |  6.927495561401326 | -15.0 |   7.3 |  -2.926445447009032 | -0.24784874737095208 |      0.0 |
|-----|------|---------------------|--------------------|-------|-------|---------------------|----------------------|----------|
| 125 |    0 |  -8.826376559833339 |  6.930551150722468 | -15.0 |   7.3 |  -2.926445447009032 | -0.24742713300347408 |      0.0 |
|-----|------|---------------------|--------------------|-------|-------|---------------------|----------------------|----------|
| 126 |    0 |  -8.822172035483977 |  6.938426178072592 | -15.0 |   7.3 |  -2.926445447009032 | -0.24624735857397417 |      0.0 |
