Time,data
1652390097.4977973,s20000.0
1652390097.5867543,s20000.0
1652390097.6833293,s20000.0
1652390097.7719374,s20000.0
1652390097.8803403,s20000.0
1652390097.9805162,s20000.0
1652390098.0680375,s20000.0
1652390098.1663022,s20000.0
1652390098.2554371,s20000.0
1652390098.353854,s20000.0
1652390098.4444666,s20000.0
1652390098.540304,s20000.0
1652390098.660541,s20000.0
1652390098.7364511,s20000.0
1652390098.8332264,s20000.0
1652390098.9239743,s20000.0
1652390099.0217767,s20000.0
1652390099.1075864,s20000.0
1652390099.2079282,s20000.0
1652390099.377064,s20000.0
1652390099.423938,s20000.0
1652390099.5026996,s20000.0
1652390099.5892382,s20000.0
1652390099.7865808,s20000.0
1652390099.8326907,s20000.0
1652390099.888077,s20000.0
1652390099.9835382,s20000.0
1652390100.0723345,s20000.0
1652390100.1700895,s20000.0
1652390100.2574484,s20000.0
1652390100.3556669,s20000.0
1652390100.4428706,s20000.0
1652390100.6048775,s20000.0
1652390100.6525378,s20000.0
1652390100.7405453,s20000.0
1652390100.839924,s20000.0
1652390100.9273574,s20000.0
1652390101.0251045,s20000.0
1652390101.134659,s20000.0
1652390101.222577,s20000.0
1652390101.3229892,s20000.0
1652390101.4106452,s20000.0
1652390101.5081694,s20000.0
1652390101.5959878,s20000.0
1652390101.6944246,s20000.0
1652390101.7923696,s20000.0
1652390101.8953803,s20000.0
1652390101.9889846,s20000.0
1652390102.0775874,s20000.0
1652390102.164716,s20000.0
1652390102.2727764,s20000.0
1652390102.371128,s20000.0
1652390102.4690921,s20000.0
1652390102.5565755,s20000.0
1652390102.6557212,s20000.0
1652390102.7437673,s20000.0
1652390102.8435235,s20000.0
1652390102.9421206,s20000.0
1652390103.0286486,s20000.0
1652390103.1273286,s20000.0
1652390103.2185352,s20000.0
1652390103.3281896,s20000.0
1652390103.4168603,s20000.0
1652390103.5125668,s20000.0
1652390103.612598,s20000.0
1652390103.7006238,s20000.0
1652390103.7875342,s20000.0
1652390103.8864808,s20000.0
1652390104.0878868,s20000.0
1652390104.1311185,s20000.0
1652390104.1825333,s20000.0
1652390104.2715797,s20000.0
1652390104.370862,s20000.0
1652390104.45922,s20000.0
1652390104.600843,s20000.0
